lr_g,lr_d,batch_size,latent_dim,max_epochs,patience,min_delta,real_label,fake_label,noise_std,d_train_freq,g_train_freq,final_g_loss,final_d_loss,min_g_loss,training_epochs,training_time,g_loss_std,d_loss_std,mode_collapse,generation_success,character_diversity,repetition_score,quality_score,config_id
0.0005,0.0001,16,64,50,15,0.001,0.9,0.1,0.02,1,1,1.2041598464114756,1.04764054847669,0.7137049429024322,16,66.50940418243408,0.34011273129272296,0.1901474744563233,False,True,3,0.6571428571428571,42.027876406292656,1
0.0001,0.0002,16,64,50,15,0.001,0.9,0.0,0.0,1,1,3.4657967494258397,0.4299861671803873,1.3595951244800906,17,69.07775807380676,0.9166556409697386,0.05800109735041573,False,True,2,0.6214285714285714,73.09838855624994,2
0.0001,0.0001,16,128,50,10,0.001,1.0,0.1,0.0,1,1,1.2027434710460374,0.7597237497190886,0.9457210181634638,12,48.746721029281616,0.20979729113595796,0.2022525148702437,False,True,2,0.6571428571428571,43.36213545185445,3
0.0005,0.0002,16,64,50,10,0.005,1.0,0.0,0.02,1,1,2.6828601013256024,0.27514334793992434,0.8749102437043492,13,55.57814002037048,0.7714723570494344,0.16967699425315122,False,True,7,0.6928571428571428,47.400248512788906,4
0.0001,0.0002,16,128,50,15,0.01,0.9,0.1,0.02,2,1,1.741943480847757,0.3736153531678115,0.9270774316561373,17,65.79413604736328,0.15724501401329324,0.05697018693139732,False,True,4,0.7285714285714286,37.348517021401165,8
0.0005,0.0001,64,128,50,15,0.01,0.9,0.0,0.0,2,1,0.8382935956120491,0.6641536235809327,0.6947648108005524,16,26.197787046432495,0.03211345457795891,0.00989298275914379,False,True,2,0.6928571428571428,35.257788943296,9
0.0001,0.0001,64,128,50,15,0.005,0.9,0.1,0.02,2,1,0.8573009997606278,0.5891789048910141,0.618749275803566,21,35.49249458312988,0.15505711133326558,0.050146872096806384,False,True,3,0.6214285714285714,41.20543841141546,10
0.0005,0.0001,32,64,50,15,0.005,0.9,0.1,0.02,2,1,2.081276990190337,0.33001361768456955,0.6639383899260171,27,65.60934638977051,0.39478125776629397,0.1349800093791418,False,True,3,0.6571428571428571,51.07239047644913,11
0.0005,0.0002,16,64,50,10,0.005,0.9,0.0,0.02,2,1,0.8494603337743615,0.665429101714605,0.7709612538920173,11,46.30861306190491,0.2617988536482097,0.07580068453031506,False,True,4,0.6928571428571428,32.51788332027038,12
0.0005,0.0005,32,100,50,10,0.001,1.0,0.1,0.0,1,1,2.1853082602537133,0.34357125359245494,1.1116869166682037,11,28.879234790802002,0.2925175538173311,0.2521448551135462,False,True,2,0.6571428571428571,53.60138465733807,13
0.0001,0.0001,64,100,50,10,0.01,1.0,0.0,0.0,1,1,1.8663592979311943,1.2931629061698913,0.8559490263462066,14,24.459545612335205,0.41078002261666324,0.2585048606739609,False,True,3,0.8,34.71749309239526,15
0.0002,0.0002,16,64,50,10,0.001,0.9,0.0,0.0,1,1,5.582693093939673,0.3357800256602372,1.230301197193846,13,53.663841009140015,1.178355341870641,0.15467396147654827,False,True,3,0.9071428571428573,65.0044219344642,17
0.0001,0.0001,16,128,50,15,0.005,0.9,0.1,0.0,1,1,1.9070080809200867,0.7667962821978557,1.0094580212725868,19,77.37516927719116,0.17708474433735497,0.07170372419768012,False,True,2,0.9071428571428573,25.241218816601915,18
0.0001,0.0001,16,128,50,15,0.001,0.9,0.1,0.0,1,1,1.9899797628197489,0.6896602635896658,0.9962593086912662,17,69.57660150527954,0.07638967151105094,0.01949618460500384,False,True,3,0.7642857142857143,37.85317455718131,19
0.0001,0.0001,64,100,50,15,0.01,1.0,0.1,0.02,2,1,0.8764703929424286,0.5878838211297989,0.5169519305229187,30,66.29885506629944,0.533676309229078,0.22028519929076743,False,True,2,0.6214285714285714,45.29022833271253,20
0.0002,0.0002,64,100,50,10,0.001,1.0,0.0,0.02,2,1,0.9842900887131691,0.5431821197271347,0.7063245132565499,21,37.97200918197632,0.1820296225483033,0.2037575910291691,False,True,2,0.6214285714285714,44.61019185701606,23
0.0001,0.0001,16,128,50,10,0.005,1.0,0.0,0.0,2,1,1.7680190103717996,0.30590490761059747,0.7103113865927805,12,51.10531210899353,0.35356959848388775,0.1466459006585204,False,True,2,0.7642857142857143,39.01946666756601,25
